outcome, cumulative-outcome, X, Y, expected-LCS, found-LCS
HIT, 1, 1001011010100100, 1001101001011011, 4, 4
HIT, 2, 1001101001011000, 0110011010010111, 6, 6
HIT, 3, 1001100101010100, 0110011001010111, 6, 6
HIT, 4, 1010010101101000, 1010010101010111, 5, 5
HIT, 5, 1010100101010100, 0101101001100111, 3, 3
HIT, 6, 1001011010011000, 1010010110011011, 4, 4
HIT, 7, 1001010101010100, 0101010110010111, 4, 4
HIT, 8, 1010010101100100, 1001011010100111, 3, 3
HIT, 9, 0110101001011000, 1010101001010111, 5, 5
HIT, 10, 1010101001010100, 1001011001100111, 3, 3
HIT, 11, 0101101001100100, 0110100110101011, 5, 5
MISS, 1, 1001100110101000, 1001011001011011, 3, 1
HIT, 12, 1001011010100100, 1010011010101011, 4, 4
HIT, 13, 1010010101011000, 0101101001011011, 4, 4
HIT, 14, 1010101001011000, 1001011001101011, 4, 4
HIT, 15, 0110101010100100, 0110100101010111, 3, 3
HIT, 16, 1001100101101000, 0101100110010111, 5, 5
HIT, 17, 0101010110100100, 0101011001011011, 4, 4
HIT, 18, 0110100110011000, 1001100110010111, 5, 5
HIT, 19, 1010010101100100, 1010100110100111, 3, 3
HIT, 20, 1001011010100100, 0110101010100111, 4, 4
MISS, 2, 0101010101010100, 0101011001100111, 3, 1
HIT, 21, 0101011010010100, 1010010110101011, 4, 4
HIT, 22, 1001011010101000, 0101011010011011, 4, 4
HIT, 23, 1001101001100100, 1010101001101011, 4, 4
HIT, 24, 0101011001010100, 1010100110100111, 2, 2
HIT, 25, 0110011010101000, 0101100101100111, 3, 3
HIT, 26, 0110100101100100, 1001100101011011, 3, 3
HIT, 27, 0110101001011000, 0110101010011011, 4, 4
HIT, 28, 1001011001011000, 0101010110101011, 3, 3
HIT, 29, 1001011001010100, 1010010110100111, 4, 4
HIT, 30, 1010011010011000, 1010101001011011, 3, 3
HIT, 31, 1001011010101000, 0101100101101011, 5, 5
HIT, 32, 1001101001010100, 0101100101010111, 4, 4
HIT, 33, 1010010101101000, 1010011001010111, 4, 4
HIT, 34, 1010100110101000, 1010101010100111, 4, 4
HIT, 35, 0110100101100100, 1010101010010111, 4, 4
HIT, 36, 1010010110010100, 1010011010100111, 3, 3
HIT, 37, 1010010101010100, 0101101001011011, 4, 4
HIT, 38, 1010100110100100, 0101101010100111, 4, 4
HIT, 39, 1010011001100100, 1010101001100111, 5, 5
HIT, 40, 1001010110101000, 0101010110101011, 6, 6
MISS, 3, 0101010101100100, 1010101001010111, 3, 1
HIT, 41, 1001010101011000, 1001100101010111, 5, 5
HIT, 42, 0110011001011000, 0110011010100111, 4, 4
HIT, 43, 1001100101010100, 0110101001100111, 4, 4
HIT, 44, 1001100110101000, 0110100110100111, 4, 4
HIT, 45, 0101010110100100, 0110010110101011, 4, 4
HIT, 46, 0110101001011000, 1010101001011011, 6, 6
HIT, 47, 0101010110010100, 0110100101101011, 3, 3
HIT, 48, 0110010101010100, 1001101001011011, 3, 3
HIT, 49, 0110011010010100, 1010011010010111, 6, 6
HIT, 50, 1010101001011000, 1001101001011011, 5, 5
MISS, 4, 1010011001100100, 1010010110101011, 3, 1
HIT, 51, 1010100110101000, 1001101010010111, 5, 5
HIT, 52, 1010010110010100, 1001101010100111, 3, 3
HIT, 53, 1001101010100100, 0110101010100111, 5, 5
HIT, 54, 1001011001100100, 1001100110100111, 4, 4
HIT, 55, 0110010101101000, 1010101001100111, 3, 3
HIT, 56, 0101011001010100, 1010011010100111, 2, 2
HIT, 57, 0110011001011000, 0101011001101011, 4, 4
HIT, 58, 1001011001011000, 1001011010010111, 4, 4
HIT, 59, 1001101001100100, 0101101001010111, 4, 4
MISS, 5, 1001011010011000, 0110010101010111, 3, 1
HIT, 60, 1010101010010100, 0101011010100111, 4, 4
HIT, 61, 0101101001010100, 0101101001101011, 5, 5
HIT, 62, 1010011010101000, 1010011010100111, 6, 6
HIT, 63, 1001101001010100, 1010011001010111, 4, 4
HIT, 64, 1010100101101000, 1010010101011011, 4, 4
HIT, 65, 0101101010101000, 1001100101010111, 2, 2
HIT, 66, 0110011001011000, 0110100101010111, 3, 3
HIT, 67, 0101100110100100, 1010010110100111, 4, 4
HIT, 68, 1010100101101000, 1001010101100111, 3, 3
HIT, 69, 1001100110011000, 1001011001010111, 3, 3
HIT, 70, 1001011001101000, 1010101001101011, 4, 4
MISS, 6, 0101010101011000, 1010011001010111, 3, 1
HIT, 71, 1010011001010100, 1001010110100111, 4, 4
HIT, 72, 0110010101100100, 0110101001011011, 3, 3
HIT, 73, 0110101001100100, 0101011010010111, 3, 3
HIT, 74, 1001101010011000, 1010010110011011, 3, 3
HIT, 75, 0101010110011000, 1010010110010111, 4, 4
HIT, 76, 1001010110101000, 0101100101010111, 4, 4
HIT, 77, 1010101001100100, 0110100101011011, 3, 3
HIT, 78, 1010101010100100, 0110011001010111, 2, 2
MISS, 7, 0101101010011000, 0110011001011011, 3, 1
HIT, 79, 0101010110100100, 1001100101011011, 4, 4
HIT, 80, 1001010110010100, 1001010101101011, 4, 4
HIT, 81, 0110101001101000, 1010101010101011, 3, 3
HIT, 82, 0101101001011000, 1010011001100111, 3, 3
HIT, 83, 0110010110100100, 0101011001011011, 5, 5
HIT, 84, 0110010110101000, 0110101010010111, 4, 4
HIT, 85, 1001010101010100, 0101101001011011, 3, 3
HIT, 86, 0110101010011000, 1001010101011011, 2, 2
HIT, 87, 0101011001101000, 0101011001101011, 7, 7
HIT, 88, 1001011001100100, 1001100101010111, 4, 4
HIT, 89, 1001101010010100, 0110010110011011, 3, 3
HIT, 90, 0101010101010100, 0110101001011011, 2, 2
HIT, 91, 1010101010100100, 0101010101101011, 2, 2
HIT, 92, 1001100101101000, 0101010110011011, 3, 3
HIT, 93, 1001100101100100, 0110011010101011, 3, 3
HIT, 94, 1010011010010100, 0101101010011011, 4, 4
HIT, 95, 0101100101010100, 0101100101011011, 6, 6
HIT, 96, 1010100101101000, 0110011010100111, 4, 4
MISS, 8, 1001011010101000, 0110100101011011, 3, 1
HIT, 97, 0101101001011000, 1010011010010111, 5, 5
HIT, 98, 1001101010010100, 0101100110101011, 5, 5
HIT, 99, 1010010110101000, 1001101010010111, 4, 4
HIT, 100, 0110010110101000, 0101101001011011, 4, 4
HIT, 101, 0110101010101000, 0110100101011011, 3, 3
HIT, 102, 0101010101100100, 0110011010101011, 3, 3
HIT, 103, 1010100110101000, 0101101010100111, 4, 4
HIT, 104, 1001101001011000, 0110011001100111, 3, 3
HIT, 105, 1001010110011000, 0101101010101011, 3, 3
HIT, 106, 0110101010101000, 1010011001101011, 3, 3
HIT, 107, 0110010101010100, 0101010101010111, 5, 5
HIT, 108, 0110010101011000, 1010011010101011, 2, 2
HIT, 109, 1001010110101000, 1001100110101011, 4, 4
MISS, 9, 0101100110100100, 0110010101101011, 3, 1
HIT, 110, 1010011001010100, 0101010101010111, 3, 3
HIT, 111, 1010010110101000, 1010010110100111, 6, 6
HIT, 112, 0101011010010100, 0110101010011011, 3, 3
HIT, 113, 0101011010011000, 1010101010010111, 3, 3
HIT, 114, 1001010110011000, 1010101010101011, 1, 1
HIT, 115, 0110010101010100, 0110011001011011, 4, 4
HIT, 116, 0101101001010100, 0110011001010111, 4, 4
HIT, 117, 1010101001011000, 1010100110011011, 4, 4
HIT, 118, 0110101001100100, 1010011001101011, 5, 5
MISS, 10, 0101101001011000, 0101011001101011, 3, 1
HIT, 119, 0110010101011000, 0101100101100111, 4, 4
HIT, 120, 0110010110011000, 1001011001101011, 6, 6
HIT, 121, 1001010101101000, 1010100110100111, 3, 3
HIT, 122, 0110011001101000, 1010100101100111, 3, 3
HIT, 123, 1010101001010100, 0101011001010111, 4, 4
HIT, 124, 1010100110011000, 1010101001101011, 5, 5
HIT, 125, 1001101010011000, 0110010101100111, 2, 2
HIT, 126, 1010010101011000, 0101100110011011, 3, 3
HIT, 127, 1001010101011000, 0110101010010111, 3, 3
MISS, 11, 0101101001101000, 1010010110010111, 3, 1
HIT, 128, 0110010101100100, 1001010110011011, 6, 6
HIT, 129, 0110010110010100, 0110010110010111, 7, 7
HIT, 130, 1010011001101000, 1001010101010111, 2, 2
HIT, 131, 1001010101011000, 1010010101101011, 4, 4
HIT, 132, 0110101010101000, 0101101001100111, 3, 3
HIT, 133, 0101100110100100, 0101010110100111, 4, 4
HIT, 134, 0110100110010100, 1010010101010111, 3, 3
HIT, 135, 0110011001101000, 1010010101011011, 2, 2
HIT, 136, 1010100101011000, 0101100101010111, 4, 4
HIT, 137, 1010010110010100, 1010100101011011, 4, 4
HIT, 138, 0101101010101000, 1010100110011011, 3, 3
HIT, 139, 1001100101100100, 1001100110011011, 4, 4
HIT, 140, 0110101010101000, 0101010110011011, 2, 2
HIT, 141, 1001010101011000, 0110100101011011, 4, 4
HIT, 142, 1001011001010100, 0110100110100111, 2, 2
MISS, 12, 0110011001010100, 0101010101010111, 3, 1
HIT, 143, 0110100110101000, 0101011001010111, 2, 2
HIT, 144, 0110011001010100, 0110100110100111, 3, 3
HIT, 145, 0110011010101000, 0101100110100111, 5, 5
HIT, 146, 0101011001011000, 0101010110010111, 6, 6
HIT, 147, 1010011010100100, 1010100110100111, 5, 5
HIT, 148, 0110011001100100, 1010101001010111, 2, 2
HIT, 149, 1001100101100100, 0110100101101011, 4, 4
HIT, 150, 1010011010101000, 1010100110100111, 5, 5
HIT, 151, 0110101001100100, 1001100101100111, 4, 4
HIT, 152, 1001100101100100, 0110100110101011, 3, 3
HIT, 153, 1010101010011000, 1010101001101011, 6, 6
HIT, 154, 1010101001011000, 0110011001011011, 4, 4
HIT, 155, 1010011001100100, 0110011001100111, 6, 6
MISS, 13, 0110010101011000, 1001100110011011, 3, 1
HIT, 156, 0101010101100100, 0101010101011011, 6, 6
HIT, 157, 1010011010100100, 0101010110101011, 4, 4
HIT, 158, 0101101001011000, 0110011001100111, 2, 2
HIT, 159, 0110101010010100, 0101101010101011, 5, 5
HIT, 160, 1010101001100100, 1010101010100111, 5, 5
HIT, 161, 0110011001100100, 1010101010011011, 3, 3
HIT, 162, 0101010101011000, 0101100110010111, 3, 3
HIT, 163, 0101010110011000, 1001100110011011, 4, 4
HIT, 164, 0110011001010100, 0101011001011011, 4, 4
HIT, 165, 1001100110011000, 1001101010101011, 3, 3
HIT, 166, 0110100101011000, 0110011001011011, 3, 3
HIT, 167, 0110101001101000, 1010101001101011, 6, 6
HIT, 168, 0101010101100100, 0110011001101011, 3, 3
HIT, 169, 0110101010100100, 0110101010010111, 5, 5
HIT, 170, 0110010101100100, 0101101010100111, 3, 3
MISS, 14, 1010100101011000, 0110010110100111, 3, 1
HIT, 171, 1010100101101000, 1001011010011011, 5, 5
HIT, 172, 1001010101011000, 0101010101100111, 6, 6
HIT, 173, 0110011001100100, 1010100101100111, 3, 3
HIT, 174, 0110010101010100, 0101101010010111, 3, 3
HIT, 175, 1010011010011000, 0101101001100111, 5, 5
HIT, 176, 0101100110011000, 1010100110100111, 3, 3
HIT, 177, 1010100101100100, 1010011001100111, 3, 3
HIT, 178, 0101011010010100, 1010100101100111, 4, 4
HIT, 179, 0110101001011000, 0101010101101011, 3, 3
HIT, 180, 1010011010100100, 1010010101011011, 3, 3
HIT, 181, 0101101001101000, 0110101001011011, 3, 3
HIT, 182, 1001011010100100, 0101010101010111, 2, 2
HIT, 183, 0110010101010100, 1001101010011011, 2, 2
HIT, 184, 0101011010100100, 0101100101011011, 4, 4
HIT, 185, 1001011010100100, 1001011001100111, 4, 4
HIT, 186, 1001100101100100, 1010100101101011, 4, 4
HIT, 187, 0101101010100100, 0101100110100111, 3, 3
HIT, 188, 0110101001010100, 1010010101101011, 5, 5
HIT, 189, 0110011001010100, 1010101010010111, 3, 3
HIT, 190, 0101101010010100, 1010011010011011, 3, 3
HIT, 191, 1001101010011000, 1001010110100111, 3, 3
HIT, 192, 0101100101100100, 0110011010010111, 3, 3
HIT, 193, 0110100110011000, 1010101010011011, 4, 4
HIT, 194, 0110011010010100, 0101011010010111, 5, 5
HIT, 195, 0110101001011000, 1001011010010111, 4, 4
HIT, 196, 0101010101010100, 1010010101100111, 3, 3
HIT, 197, 0110100101011000, 0110100110100111, 4, 4
HIT, 198, 0110100110011000, 0101100110101011, 4, 4
HIT, 199, 1010010110101000, 1010010110011011, 5, 5
HIT, 200, 0110100110100100, 1010010101101011, 3, 3
HIT, 201, 0101010110100100, 1010101010011011, 3, 3
HIT, 202, 1010010101010100, 1010100110101011, 3, 3
MISS, 15, 1001101001101000, 0110010110101011, 3, 1
HIT, 203, 0110011010011000, 0101101001011011, 4, 4
HIT, 204, 1001100110011000, 1001101001101011, 3, 3
HIT, 205, 0101101001010100, 0110011010011011, 4, 4
HIT, 206, 0110011001010100, 0101101010010111, 3, 3
MISS, 16, 1010100101100100, 1001100110100111, 3, 1
HIT, 207, 0110011001011000, 1001101010100111, 3, 3
HIT, 208, 1001011001010100, 0110101001101011, 2, 2
HIT, 209, 0101101001010100, 0110011010100111, 3, 3
HIT, 210, 0101100110011000, 0101010101101011, 3, 3
HIT, 211, 0110011001101000, 1010101001100111, 4, 4
HIT, 212, 0101101010011000, 1010100101100111, 4, 4
HIT, 213, 1010101010011000, 0101011001011011, 2, 2
HIT, 214, 1010101001100100, 1001011001100111, 4, 4
HIT, 215, 1001100101101000, 0101101010011011, 4, 4
HIT, 216, 0110100101010100, 0110010110010111, 3, 3
HIT, 217, 0101010101011000, 1001011001010111, 3, 3
HIT, 218, 0110010101010100, 1010010110011011, 3, 3
HIT, 219, 0101010101010100, 0101100101101011, 2, 2
HIT, 220, 0101101001101000, 1001101010011011, 4, 4
HIT, 221, 0110010110010100, 0101011001100111, 4, 4
HIT, 222, 1001010110101000, 0110011001100111, 2, 2
HIT, 223, 0110010101101000, 0110100110100111, 3, 3
HIT, 224, 1010011001101000, 0101100101010111, 3, 3
MISS, 17, 1010011001011000, 0101010110011011, 3, 1
HIT, 225, 0101100101100100, 0101100101101011, 6, 6
HIT, 226, 0101100110101000, 1010100110010111, 3, 3
HIT, 227, 0110010101101000, 0110010110010111, 4, 4
HIT, 228, 1001101010101000, 1001100110010111, 3, 3
HIT, 229, 0101101001101000, 1001010101100111, 3, 3
HIT, 230, 0101101001101000, 0110010101011011, 3, 3
HIT, 231, 0110010110101000, 1010010101011011, 3, 3
HIT, 232, 1010101010011000, 1010011001011011, 4, 4
HIT, 233, 0110010101101000, 0110100110100111, 3, 3
HIT, 234, 0110100101101000, 0101100110011011, 3, 3
HIT, 235, 1001011001010100, 0101011010010111, 3, 3
HIT, 236, 1001100110010100, 0110011001011011, 6, 6
HIT, 237, 0110100101010100, 1010010110011011, 4, 4
HIT, 238, 1010011001011000, 0110011001010111, 5, 5
HIT, 239, 1010011010100100, 0110100101100111, 3, 3
HIT, 240, 1010010101010100, 1010100110010111, 3, 3
HIT, 241, 1010100110101000, 1001100110101011, 5, 5
HIT, 242, 0110101010010100, 1001011001101011, 3, 3
HIT, 243, 1001100110100100, 0110011010100111, 5, 5
HIT, 244, 0110101001011000, 0101010110010111, 3, 3
HIT, 245, 0110100110011000, 0110101010011011, 4, 4
HIT, 246, 1010101001011000, 0110010110101011, 4, 4
HIT, 247, 0110101001101000, 1010011001100111, 4, 4
HIT, 248, 1010100110101000, 1001010110010111, 2, 2
HIT, 249, 1010100101011000, 0101010110011011, 4, 4
HIT, 250, 1010010110100100, 0110010110100111, 6, 6
HIT, 251, 1010011010011000, 1010011010010111, 6, 6
HIT, 252, 0110010110101000, 0110101001010111, 4, 4
HIT, 253, 0110010110101000, 0101100101010111, 4, 4
HIT, 254, 0110010101011000, 0110011010101011, 3, 3
HIT, 255, 0110100101101000, 0110011010011011, 4, 4
HIT, 256, 0110011010101000, 1001100110101011, 6, 6
HIT, 257, 1001100101101000, 1001011010101011, 5, 5
HIT, 258, 0101010110011000, 0101011001010111, 5, 5
HIT, 259, 1010010110100100, 1001100101010111, 3, 3
HIT, 260, 0101011001101000, 1010010101010111, 3, 3
HIT, 261, 0101101001011000, 1001101001101011, 4, 4
HIT, 262, 0110011010100100, 1001100110010111, 4, 4
HIT, 263, 1001100110010100, 1010010110010111, 4, 4
HIT, 264, 0110011001101000, 1001100110010111, 5, 5
HIT, 265, 1001100110101000, 0101011010011011, 3, 3
HIT, 266, 0110101001101000, 0101101001010111, 3, 3
HIT, 267, 0110101001100100, 1001011001011011, 3, 3
HIT, 268, 1001100101011000, 0101100110101011, 3, 3
HIT, 269, 0110011001101000, 1001100110101011, 6, 6
HIT, 270, 1001100110010100, 1010011001100111, 6, 6
HIT, 271, 0110010110101000, 0110010101101011, 4, 4
HIT, 272, 0110101001010100, 0101010101010111, 3, 3
HIT, 273, 0110101010011000, 0110101010100111, 5, 5
HIT, 274, 0110011010010100, 0110100101010111, 5, 5
HIT, 275, 1010101010101000, 0110010101101011, 2, 2
HIT, 276, 0110010110011000, 0101011010101011, 3, 3
HIT, 277, 1001011001010100, 0101100101010111, 6, 6
HIT, 278, 1001100101101000, 1001101010011011, 3, 3
HIT, 279, 0101011010101000, 1010010101100111, 4, 4
HIT, 280, 0110101010010100, 0101101001101011, 3, 3
HIT, 281, 0101101001010100, 0101100101010111, 4, 4
HIT, 282, 1010011001100100, 1010010110010111, 3, 3
HIT, 283, 1001100101010100, 1010101001011011, 3, 3
HIT, 284, 1010101010100100, 1010010101101011, 3, 3
HIT, 285, 0110010110101000, 0110011010101011, 4, 4
HIT, 286, 0101011010101000, 1001100101101011, 4, 4
HIT, 287, 0101100101010100, 1010011001100111, 3, 3
HIT, 288, 1001011010100100, 0110100110010111, 3, 3
HIT, 289, 0101101001100100, 1010100101100111, 3, 3
HIT, 290, 1010011010100100, 0110011010100111, 6, 6
HIT, 291, 0101101001100100, 1001100110101011, 4, 4
HIT, 292, 1010101010011000, 0110100101010111, 3, 3
HIT, 293, 0110100110100100, 1001011010011011, 5, 5
MISS, 18, 0101011010100100, 1001010101010111, 3, 1
HIT, 294, 1001011001011000, 0110100110011011, 3, 3
HIT, 295, 1010100110100100, 1010101010100111, 4, 4
HIT, 296, 0101011001100100, 1001101001101011, 3, 3
HIT, 297, 1001101010011000, 0101100110010111, 3, 3
HIT, 298, 1001100101010100, 0101100110100111, 3, 3
HIT, 299, 1001010110101000, 0101100110010111, 3, 3
HIT, 300, 1010101010010100, 0110011001100111, 2, 2
HIT, 301, 1001100101010100, 0101101010100111, 2, 2
HIT, 302, 0101010110011000, 0110010110010111, 4, 4
HIT, 303, 0110011001100100, 1001010101101011, 2, 2
HIT, 304, 0101011010011000, 0101100101010111, 3, 3
HIT, 305, 1001100101101000, 1010011010100111, 3, 3
HIT, 306, 1001100110010100, 0110011001101011, 5, 5
HIT, 307, 1010010101100100, 0101011010010111, 4, 4
HIT, 308, 1001011010101000, 1001010110010111, 3, 3
HIT, 309, 1001011010011000, 1010101010101011, 2, 2
HIT, 310, 0101101001010100, 1010100110100111, 4, 4
HIT, 311, 1001011010101000, 1001011001010111, 4, 4
HIT, 312, 0110101010100100, 0110101010101011, 6, 6
HIT, 313, 1001101001100100, 1010101010011011, 4, 4
HIT, 314, 0110101010010100, 1010100101010111, 5, 5
HIT, 315, 1010011001010100, 1001100110011011, 4, 4
HIT, 316, 1001010110010100, 0101101001011011, 3, 3
